"Table 2. Per Capita Personal Income, by Metropolitan Area, 2020–2022",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Jacksonville, FL","54,849","60,798","62,729",95,10.8,3.2,65
"Jacksonville, NC","46,781","51,490","51,585",259,10.1,0.2,271
"Janesville-Beloit, WI","47,909","51,955","52,517",239,8.4,1.1,214
"Jefferson City, MO","48,353","50,673","51,936",252,4.8,2.5,91
"Johnson City, TN","44,278","48,424","48,978",303,9.4,1.1,209
"Johnstown, PA","46,250","48,961","47,971",315,5.9,-2.0,362
"Jonesboro, AR","41,774","46,152","45,736",348,10.5,-0.9,330
"Joplin, MO","41,273","43,890","44,900",362,6.3,2.3,108
"Kahului-Wailuku-Lahaina, HI","52,923","60,287","60,376",118,13.9,0.1,274
"Kalamazoo-Portage, MI","54,818","58,792","59,619",130,7.2,1.4,182
"Kankakee, IL","47,418","51,692","51,048",266,9.0,-1.2,344
"Kansas City, MO-KS","57,427","60,710","63,417",88,5.7,4.5,17
"Kennewick-Richland, WA","48,096","52,158","51,799",253,8.4,-0.7,322
"Killeen-Temple, TX","44,975","48,471","47,680",319,7.8,-1.6,354
"Kingsport-Bristol, TN-VA","43,360","46,851","47,442",325,8.1,1.3,199
"Kingston, NY","58,285","61,224","62,270",98,5.0,1.7,154
"Knoxville, TN","51,776","57,057","58,239",145,10.2,2.1,119
"Kokomo, IN","43,810","47,388","47,388",327,8.2,0.0,284
"La Crosse-Onalaska, WI-MN","53,970","59,519","60,402",117,10.3,1.5,173
"Lafayette, LA","48,671","53,114","52,503",240,9.1,-1.2,339
"Lafayette-West Lafayette, IN","43,329","47,186","48,158",313,8.9,2.1,122
"Lake Charles, LA","47,028","51,781","51,799",253,10.1,0.0,282
"Lake Havasu City-Kingman, AZ","40,229","42,777","44,645",366,6.3,4.4,20
"Lakeland-Winter Haven, FL","40,807","43,915","43,223",372,7.6,-1.6,353
"Lancaster, PA","57,816","61,775","63,044",91,6.8,2.1,123
"Lansing-East Lansing, MI","47,089","51,544","50,647",274,9.5,-1.7,356
"Laredo, TX","37,015","41,051","40,873",380,10.9,-0.4,313
"Las Cruces, NM","40,871","45,649","45,361",353,11.7,-0.6,319
"Las Vegas-Henderson-Paradise, NV","52,562","58,388","59,150",133,11.1,1.3,192
"Lawrence, KS","48,676","51,852","52,799",235,6.5,1.8,142
"Lawton, OK","45,691","48,393","47,719",317,5.9,-1.4,349
"Lebanon, PA","52,362","55,937","56,207",178,6.8,0.5,258
"Lewiston, ID-WA","48,266","52,368","54,393",211,8.5,3.9,34
"Lewiston-Auburn, ME","45,865","48,186","49,055",300,5.1,1.8,144
"Lexington-Fayette, KY","53,274","56,894","57,875",152,6.8,1.7,152
"Lima, OH","46,952","49,896","50,195",281,6.3,0.6,246
